pays,geo_code,annee,type_energie,siec_code,siec_label,valeur,unite,unite_label
Allemagne,DE,2019,Combustibles fossiles solides (charbon),C0000X0350-0370,Solid fossil fuels,43007.711,THS_T,Thousand tonnes
Allemagne,DE,2019,Gaz naturel,G3000,Natural gas,3520264.903,TJ_GCV,Terajoule (gross calorific value - GCV)
Allemagne,DE,2019,Pétrole brut,O4100_TOT,Crude oil,85991.0,THS_T,Thousand tonnes
Allemagne,DE,2019,Pétrole et produits pétroliers,O4000XBIO,Oil and petroleum products (excluding biofuel portion),128004.0,THS_T,Thousand tonnes
Allemagne,DE,2020,Combustibles fossiles solides (charbon),C0000X0350-0370,Solid fossil fuels,31281.095,THS_T,Thousand tonnes
Allemagne,DE,2020,Gaz naturel,G3000,Natural gas,3092272.826,TJ_GCV,Terajoule (gross calorific value - GCV)
Allemagne,DE,2020,Pétrole brut,O4100_TOT,Crude oil,82724.0,THS_T,Thousand tonnes
Allemagne,DE,2020,Pétrole et produits pétroliers,O4000XBIO,Oil and petroleum products (excluding biofuel portion),117324.0,THS_T,Thousand tonnes
Allemagne,DE,2021,Combustibles fossiles solides (charbon),C0000X0350-0370,Solid fossil fuels,40851.878,THS_T,Thousand tonnes
Allemagne,DE,2021,Gaz naturel,G3000,Natural gas,3256078.881,TJ_GCV,Terajoule (gross calorific value - GCV)
Allemagne,DE,2021,Pétrole brut,O4100_TOT,Crude oil,81296.0,THS_T,Thousand tonnes
Allemagne,DE,2021,Pétrole et produits pétroliers,O4000XBIO,Oil and petroleum products (excluding biofuel portion),117911.0,THS_T,Thousand tonnes
Allemagne,DE,2022,Combustibles fossiles solides (charbon),C0000X0350-0370,Solid fossil fuels,44791.061,THS_T,Thousand tonnes
Allemagne,DE,2022,Gaz naturel,G3000,Natural gas,3288950.483,TJ_GCV,Terajoule (gross calorific value - GCV)
Allemagne,DE,2022,Pétrole brut,O4100_TOT,Crude oil,88248.0,THS_T,Thousand tonnes
Allemagne,DE,2022,Pétrole et produits pétroliers,O4000XBIO,Oil and petroleum products (excluding biofuel portion),123642.0,THS_T,Thousand tonnes
Allemagne,DE,2023,Combustibles fossiles solides (charbon),C0000X0350-0370,Solid fossil fuels,33025.415,THS_T,Thousand tonnes
Allemagne,DE,2023,Gaz naturel,G3000,Natural gas,2791205.404,TJ_GCV,Terajoule (gross calorific value - GCV)
Allemagne,DE,2023,Pétrole brut,O4100_TOT,Crude oil,77197.0,THS_T,Thousand tonnes
Allemagne,DE,2023,Pétrole et produits pétroliers,O4000XBIO,Oil and petroleum products (excluding biofuel portion),113017.0,THS_T,Thousand tonnes
Autriche,AT,2019,Combustibles fossiles solides (charbon),C0000X0350-0370,Solid fossil fuels,4108.781,THS_T,Thousand tonnes
Autriche,AT,2019,Gaz naturel,G3000,Natural gas,438712.874,TJ_GCV,Terajoule (gross calorific value - GCV)
